PT_ID;TILE;SECTION;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
40993502;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40993503;40;LKO_CAN;0.245;0;0.245;0.245;0.0;0.245
40993504;40;LKO_CAN;0.21;0;0.21;0.21;0.0;0.21
40993505;40;LKO_CAN;0.21;0;0.21;0.21;0.0;0.21
40993506;40;LKO_CAN;0.21;0;0.21;0.21;0.0;0.21
40993507;40;LKO_CAN;2.188;2;1.579;0.21880000000000002;0.2;0.15789999999999998
40993508;40;LKO_CAN;5.436;4;4.444;0.33975;0.25;0.27775
40993509;40;LKO_CAN;19.993;9;11.608;0.8692608695652173;0.391304347826087;0.5046956521739131
40993510;40;LKO_CAN;18.904;15;6.138;0.8219130434782609;0.6521739130434783;0.2668695652173913
40993511;40;LKO_CAN;15.818;12;5.552;0.8787777777777778;0.6666666666666666;0.3084444444444444
40993512;40;LKO_CAN;17.604;13;6.757;0.8382857142857143;0.6190476190476191;0.32176190476190475
40993513;40;LKO_CAN;18.401;14;7.097;0.8000434782608695;0.6086956521739131;0.3085652173913044
40993514;40;LKO_CAN;20.044999999999998;16;6.825;0.7709615384615384;0.6153846153846154;0.2625
40993515;40;LKO_CAN;20.949;11;12.433;0.8057307692307693;0.4230769230769231;0.4781923076923077
40993516;40;LKO_CAN;19.529;13;8.573;0.78116;0.52;0.34292
40993517;40;LKO_CAN;18.532;12;8.204;0.8824761904761905;0.5714285714285714;0.3906666666666667
40993518;40;LKO_CAN;20.526;15;8.458;0.85525;0.625;0.35241666666666666
40993519;40;LKO_CAN;21.612;17;8.147;0.8312307692307692;0.6538461538461539;0.31334615384615383
40993520;40;LKO_CAN;21.236;16;8.278;0.84944;0.64;0.33112
40993521;40;LKO_CAN;19.563;14;8.324;0.815125;0.5833333333333334;0.3468333333333333
40993522;40;LKO_CAN;19.778;14;8.474;0.8240833333333333;0.5833333333333334;0.35308333333333336
40993523;40;LKO_CAN;16.935;16;4.0;0.8467499999999999;0.8;0.2
40993524;40;LKO_CAN;21.205;10;13.514;0.815576923076923;0.38461538461538464;0.5197692307692308
40993525;40;LKO_CAN;21.69;12;13.206;0.7746428571428572;0.42857142857142855;0.47164285714285714
40993526;40;LKO_CAN;21.373;11;11.925;0.8220384615384616;0.4230769230769231;0.4586538461538462
