PT_ID;XVAL;YVAL;X_COORD;Y_COORD
40973287;633585;5035375;4.524675910113806;-37.18177627876857
40973511;635825;5035375;4.540652068768121;-37.18079580143014
40973536;636075;5035375;4.542435108668558;-37.180686156555396
40973537;636085;5035375;4.542506430208027;-37.180681769855696
40973538;636095;5035375;4.542577751743147;-37.180677383086405
40973539;636105;5035375;4.5426490732739175;-37.18067299624752
40974287;633585;5035385;4.524671525219865;-37.18170520919779
40974533;636045;5035385;4.542216742058454;-37.18062824598188
40974536;636075;5035385;4.5424307064947715;-37.18061508629198
40974537;636085;5035385;4.542502027964842;-37.1806106995895
40974538;636095;5035385;4.5425733494305645;-37.18060631281742
40974539;636105;5035385;4.542644670891936;-37.18060192597575
40975511;635825;5035395;4.540643267887623;-37.180653661112224
40975533;636045;5035395;4.542212340090036;-37.180557175796416
40975534;636055;5035395;4.542283661503762;-37.180552789299924
40975535;636065;5035395;4.542354982913135;-37.18054840273384
40975536;636075;5035395;4.542426304318161;-37.18054401609817
40975537;636085;5035395;4.542497625718835;-37.18053962939289
40975538;636095;5035395;4.542568947115157;-37.18053524261802
40975539;636105;5035395;4.542640268507131;-37.18053085577357
40975540;636115;5035395;4.542711589894751;-37.18052646885951
40976287;633585;5035405;4.524662755423546;-37.18156307026499
40976512;635835;5035405;4.540710188883155;-37.18057820608943
40977526;635975;5035415;4.541704287098433;-37.18044573920013
40977527;635985;5035415;4.541775608403811;-37.180441353185216
40978513;635845;5035425;4.540772709143792;-37.180431681140085
40978525;635965;5035425;4.541628564367002;-37.180379055191054
40978526;635975;5035425;4.541699885607333;-37.18037466924295
40978527;635985;5035425;4.541771206843313;-37.18037028322525
40979524;635955;5035435;4.541552841767196;-37.18031237118757
40979525;635965;5035435;4.541624162942477;-37.180307985306264
40979526;635975;5035435;4.541695484113408;-37.18030359935537
40979527;635985;5035435;4.54176680527999;-37.180299213334884
40980524;635955;5035445;4.541548440409245;-37.18024130137515
40980525;635965;5035445;4.541619761515128;-37.180236915491065
40980526;635975;5035445;4.541691082616661;-37.18023252953738
40982513;635845;5035465;4.540755106759864;-37.1801474021522
40982514;635855;5035465;4.5408264277747925;-37.180143017028065
40982515;635865;5035465;4.54089774878537;-37.180138631834346
40983514;635855;5035475;4.5408220271023545;-37.180071947452284
40983515;635865;5035475;4.540893348043535;-37.180067562255765
40983519;635905;5035475;4.541178631764769;-37.18005002077378
40983520;635915;5035475;4.541249952684204;-37.180045635229305
40983521;635925;5035475;4.54132127359929;-37.18004124961523
40984516;635875;5035485;4.540960268166311;-37.17999210747791
40984517;635885;5035485;4.541031589029394;-37.17998772213942
40984518;635895;5035485;4.541102909888131;-37.17998333673134
40984519;635905;5035485;4.541174230742516;-37.17997895125367
40984520;635915;5035485;4.541245551592554;-37.17997456570641
40984521;635925;5035485;4.541316872438242;-37.17997018008954
40985288;633595;5035495;4.5246946129886805;-37.18091907910669
40985517;635885;5035495;4.541027188143117;-37.17991665269448
40985518;635895;5035495;4.541098508932453;-37.17991226728361
40985519;635905;5035495;4.5411698297174405;-37.17990788180315
40986518;635895;5035505;4.541094107973954;-37.17984119790547
40986519;635905;5035505;4.541165428689543;-37.17983681242223
40986527;635985;5035505;4.541735994257677;-37.17980172605091
40986530;636015;5035505;4.5419499562739585;-37.179788567513384
40986531;636025;5035505;4.5420212769373505;-37.17978418119502
40987512;635835;5035515;4.540661783044154;-37.179796440051646
40987513;635845;5035515;4.54073310371644;-37.17979205498318
40987517;635885;5035515;4.541018386362091;-37.17977451401336
40987526;635975;5035515;4.541660272060374;-37.17973504276007
40987527;635985;5035515;4.541731592671769;-37.1797306567173
40987530;636015;5035515;4.541945554479852;-37.1797174981714
40988512;635835;5035525;4.540657382496399;-37.1797253708294
40988513;635845;5035525;4.540728703099287;-37.179720985758145
40988514;635855;5035525;4.540800023697826;-37.1797166006173
40988515;635865;5035525;4.540871344292014;-37.17971221540685
40988530;636015;5035525;4.541941152682924;-37.17964642889902
40989512;635835;5035535;4.540652981945822;-37.179654301676756
40989528;635995;5035535;4.541794109959727;-37.17958413214088
40990289;633605;5035545;4.524744009411591;-37.18055936662125
40990509;635805;5035545;4.540434619974061;-37.17959638740662
40990510;635815;5035545;4.5405059404511965;-37.17959200253858
40990511;635825;5035545;4.5405772609239845;-37.17958761760093
40990518;635895;5035545;4.541076504111726;-37.17955692108884
40991288;633595;5035555;4.524668302963935;-37.180492667719356
40991509;635805;5035555;4.540430219626034;-37.17952531840152
40991510;635815;5035555;4.540501540033772;-37.17952093353069
40991517;635885;5035555;4.541000782766168;-37.17949023748624
40992509;635805;5035565;4.540425819275185;-37.179454249466005
40992516;635875;5035565;4.540925061552232;-37.17942355388922
40992525;635965;5035565;4.54156694416672;-37.17938408313691
40992526;635975;5035565;4.541638264435472;-37.17937969714979
40993509;635805;5035575;4.5404214189215155;-37.179383180600084
40993510;635815;5035575;4.540492739190455;-37.17937879572368
40993515;635865;5035575;4.540849340469923;-37.17935687029776
40993524;635955;5035575;4.541491222498967;-37.17931740014672
40993525;635965;5035575;4.541562542702669;-37.179313014226416
40993526;635975;5035575;4.541633862902022;-37.17930862823651
40994509;635805;5035585;4.540417018565023;-37.17931211180376
40994510;635815;5035585;4.540488338764563;-37.17930772692457
40994513;635845;5035585;4.540702299337095;-37.17929457186945
40994514;635855;5035585;4.540773619519241;-37.17929018671188
40994515;635865;5035585;4.540844939697037;-37.17928580148473
40995509;635805;5035595;4.540412618205707;-37.179241043077035
40995510;635815;5035595;4.540483938335848;-37.179236658195066
40995511;635825;5035595;4.5405552584616435;-37.179232273243485
40995512;635835;5035595;4.540626578583089;-37.17922788822233
40995513;635845;5035595;4.540697898700185;-37.179223503131574
40995514;635855;5035595;4.540769218812932;-37.17921911797123
40995520;635915;5035595;4.541197139398082;-37.17919280554767
40995521;635925;5035595;4.541268459480385;-37.17918841990018
40996289;633605;5035605;4.524717698886085;-37.180132957304856
40996510;635815;5035605;4.540479537904313;-37.17916558953513
40996511;635825;5035605;4.540550857960709;-37.17916120458078
40996512;635835;5035605;4.540622178012755;-37.17915681955683
